dayofyear,hour,entry_id,gas,temp,humidity
20/05/2019,11:13:23 0,1,46,,
20/05/2019,11:13:38 0,2,,nan,
20/05/2019,11:13:55 0,3,46,,
20/05/2019,11:14:12 0,4,,,nan
20/05/2019,11:14:27 0,5,,nan,
20/05/2019,11:14:42 0,6,,nan,
20/05/2019,11:15:00 0,7,49,,
20/05/2019,11:15:16 0,8,49,,
20/05/2019,11:15:32 0,9,,,nan
20/05/2019,11:15:51 0,10,57,,
20/05/2019,11:21:54 0,11,,,95
20/05/2019,11:22:10 0,12,48,,
20/05/2019,11:22:26 0,13,,,95
20/05/2019,11:22:41 0,14,46,,
20/05/2019,11:22:58 0,15,46,,
20/05/2019,11:23:14 0,16,,,95
20/05/2019,11:23:30 0,17,48,,
20/05/2019,11:23:45 0,18,,,95
20/05/2019,11:24:01 0,19,46,,
20/05/2019,11:24:16 0,20,,,95
20/05/2019,11:24:53 0,21,46,,
20/05/2019,11:25:08 0,22,46,,
20/05/2019,11:25:23 0,23,,34,
20/05/2019,11:25:39 0,24,,,95
20/05/2019,11:25:55 0,25,46,,
20/05/2019,11:26:11 0,26,,,95
20/05/2019,11:26:27 0,27,,34,
20/05/2019,11:26:44 0,28,,34.1,
20/05/2019,11:26:59 0,29,,34.1,
20/05/2019,11:27:15 0,30,46,,
20/05/2019,11:27:31 0,31,,34.1,
20/05/2019,11:27:46 0,32,,,95
20/05/2019,11:28:04 0,33,48,,
20/05/2019,11:28:20 0,34,,,95
20/05/2019,11:28:36 0,35,,34.1,
20/05/2019,11:28:52 0,36,48,,
20/05/2019,11:29:09 0,37,48,,
20/05/2019,11:29:25 0,38,,,95
20/05/2019,11:29:40 0,39,48,,
20/05/2019,11:29:58 0,40,46,,
20/05/2019,11:30:13 0,41,,34.3,
20/05/2019,11:30:29 0,42,46,,
20/05/2019,11:39:47 0,43,,35.6,
20/05/2019,11:40:02 0,44,48,,
20/05/2019,11:40:18 0,45,188,,
20/05/2019,11:42:18 0,46,165,,
20/05/2019,11:42:35 0,47,114,,
20/05/2019,11:42:52 0,48,,,95
20/05/2019,11:43:08 0,49,,,95
20/05/2019,11:43:24 0,50,85,,
20/05/2019,11:43:40 0,51,,36.4,
20/05/2019,11:43:56 0,52,76,,
20/05/2019,11:44:14 0,53,75,,
20/05/2019,11:44:30 0,54,72,,
20/05/2019,11:44:45 0,55,,,95
20/05/2019,11:45:00 0,56,,,95
20/05/2019,11:45:17 0,57,,36.6,
20/05/2019,11:45:35 0,58,,,95
20/05/2019,11:45:54 0,59,67,,
20/05/2019,11:46:22 0,60,74,,
20/05/2019,11:46:41 0,61,,,95
20/05/2019,11:46:58 0,62,,,95
20/05/2019,11:47:14 0,63,64,,
20/05/2019,11:47:30 0,64,,36.7,
20/05/2019,11:47:47 0,65,,36.8,
20/05/2019,11:48:04 0,66,61,,
20/05/2019,11:48:21 0,67,61,,
20/05/2019,11:48:36 0,68,,,95
20/05/2019,11:48:53 0,69,60,,
20/05/2019,11:49:09 0,70,,36.5,
20/05/2019,11:49:25 0,71,58,,
20/05/2019,11:49:41 0,72,,,95
20/05/2019,11:49:57 0,73,57,,
20/05/2019,11:50:12 0,74,57,,
20/05/2019,11:50:27 0,75,,,95
20/05/2019,11:50:43 0,76,56,,
20/05/2019,11:50:59 0,77,,,95
20/05/2019,11:51:17 0,78,56,,
20/05/2019,11:51:32 0,79,,,95
20/05/2019,11:51:47 0,80,,36.7,
20/05/2019,11:52:03 0,81,55,,
20/05/2019,11:52:18 0,82,,,95
20/05/2019,11:52:34 0,83,,,95
20/05/2019,11:52:50 0,84,53,,
20/05/2019,11:53:06 0,85,,,95
